Economy,Year,Subgroup,Top Subgroup Level,Subgroup Level,Average/SE/N,Bribery incidence (percent of firms experiencing at least one bribe payment request),Bribery depth (% of public transactions where a gift or informal payment was requested),Percent of firms expected to give gifts in meetings with tax officials,Percent of firms expected to give gifts to secure government contract,Percent of firms expected to give gifts to get an operating license,Percent of firms expected to give gifts to get an import license,Percent of firms expected to give gifts to get a construction permit,Percent of firms expected to give gifts to get an electrical connection,Percent of firms expected to give gifts to get a water connection,"Percent of firms expected to give gifts to public officials ""to get things done""",Percent of firms identifying corruption as a major or very severe constraint,Real annual sales growth (%),Annual employment growth (%),Real annual labor productivity growth (%),Percent of firms buying fixed assets,Capacity utilization (%)*,Age of the establishment (years),Percent of firms with at least 10% of foreign ownership,Percent of firms with at least 10% of government/state ownership,Proportion of private domestic ownership in a firm (%),Percent of firms with legal status of Sole Proprietorship,Senior management time spent dealing with the requirements of government regulation (%),Days to obtain an operating license,[B-READY] Days to obtain a construction-related permit [median],Days to obtain an import license,[B-READY] Days to receive payment under government contract,[B-READY] Percent of firms visited or inspected for health or safety,[B-READY] Percent of firms with a report issued for health or safety inspection,Percent of firms identifying business licensing and permits as a major or very severe constraint,Percent of firms identifying access to land as a major or very severe constraint,[B-READY] Perceptions index of access to land as a constraint,[B-READY] Percent of firms offering formal training over last fiscal year,Proportion of workers offered formal training over last fiscal year (%)*,Years of the top manager's experience working in the firm's sector,Percent of firms where the largest owner is also the top manager,Number of permanent full-time equivalent workers,"Proportion of permanent workers, out of all permanent full-time equivalent workers","Proportion of production workers, out of all permanent workers*","Proportion of skilled workers, out of all permanent production workers (%)*",Proportion of permanent full time workers that completed high school,[B-READY] Weeks to dismiss a full-time permanent worker,[B-READY] Weeks paid in severance,[B-READY] Percent of firms involved in labor dispute over last 3 years,[B-READY] Months to resolve labor dispute,Percent of firms identifying labor regulations as a major or very severe constraint,[B-READY] Perceptions index of labor regulations as a constraint,Percent of firms identifying an inadequately educated workforce as a major or very severe constraint,Management practices index,Score on action when a problem arose,Score on number of performance indicators monitored,Score on time focus of production/service provision targets,Score on achievability of production/service provision targets,Score on knowledge of production/service provision targets,Score on basis of managers' performance bonuses,Score on extent to which non-managers are promoted based on performance,Score on extent to which under-performing non-managers are reassigned or dismissed,Percent of firms competing against unregistered or informal firms,Percent of firms formally registered when they started operations,Number of years firm operated without formal registration,Percent of firms identifying practices of competitors in the informal sector as a major or very severe constraint
Afghanistan,2008,Exporter Type,NA,Direct exports are 10% or more of sales,Average,36.4,19.7,22.2,NA,14.3,NA,NA,0,NA,45.5,58.3,NA,NA,NA,41.7,NA,8.1,16.7,0,92.5,66.7,10.2,22,NA,NA,NA,NA,NA,45.5,33.3,56.3,41.7,NA,16.6,NA,77.6,98.7,NA,NA,NA,NA,NA,NA,NA,0,85.4,33.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.7,91.7,1.5,50
Afghanistan,2008,Exporter Type,NA,Non-exporter,Average,36.6,24.7,28.9,46.3,16.4,24.8,27.6,38.4,16.1,41.5,53.6,3.8,13.5,-4.5,40.1,77.9,7.1,3.9,0,96.7,62.8,6.7,13.5,20,12.4,NA,NA,NA,28.8,41.2,53.5,13.7,35.2,13.9,NA,33.3,86.5,60.2,72,NA,NA,NA,NA,NA,4.5,91.3,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.6,88,1.8,29.3
Afghanistan,2008,Gender of Top Manager,NA,Top manager is female,Average,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,2008,Gender of Top Manager,NA,Top manager is male,Average,37,24.9,29.1,45,16.7,24.1,30,37.6,18.2,41.8,53.5,3.1,13.2,-4.5,40.3,78.4,7,4.4,0,96.5,62.5,6.8,13.7,20,12.6,NA,NA,NA,29.6,41,53.7,14.1,39.3,13.9,NA,34,86.8,60.4,71.1,NA,NA,NA,NA,NA,4.6,91.1,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,87.9,1.8,30.1
Afghanistan,2008,Location,NA,"5 Smaller Cities (Bamyan,Ghazni,Khost,Kunduz,Pul-E-Khumri)",Average,29,17.7,24,43.5,12.7,22.7,21.4,12.8,0,20.7,42.4,-6.6,16.7,-16.5,39.4,86.6,8.4,5.1,0,93.4,70.7,6.3,9.1,15,14.3,NA,NA,NA,27.7,66.7,33.8,14.1,NA,14.1,NA,39.2,86.3,58.8,71,NA,NA,NA,NA,NA,4.2,93.7,29.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.7,91.9,4.5,35.1
Afghanistan,2008,Location,NA,Hirat,Average,34.9,25.2,32.7,26.7,9.1,NA,45.5,50,25,53,74.6,NA,10.5,NA,59.7,75,7.8,1.5,0,99,40.3,11,19.4,30,NA,NA,NA,NA,47,43.1,54.6,34.3,30.3,15.8,NA,39.4,86.6,78,54.5,NA,NA,NA,NA,NA,1.5,89.8,15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.4,85.1,1.1,50
Afghanistan,2008,Location,NA,Jalalabad,Average,57.4,35.1,16.7,100,30.2,20,57.1,85.2,NA,84.3,70,10.8,7.7,4.7,19.7,98.2,7,0,0,96.7,68.9,2.6,10.6,NA,8.9,NA,NA,NA,44.3,11.7,80.8,6.6,NA,15.9,NA,13.7,98.2,61.9,62.4,NA,NA,NA,NA,NA,13.1,78.3,36.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5,83.6,1.6,16.7
Afghanistan,2008,Location,NA,Kabul,Average,40.8,29,35.5,46.5,19.4,28,28.1,40.5,NA,40.6,63.4,-6.2,15.9,-17.1,50.8,68.8,6.9,3.4,0,97.6,55.2,10.9,19,30,12,NA,NA,NA,35.2,48.1,44.3,16,NA,15.4,NA,43.7,83.2,66.1,72.9,NA,NA,NA,NA,NA,5,90.8,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.9,87.3,1,30
Afghanistan,2008,Location,NA,Kandahar,Average,18.2,11.7,13.5,38.1,5.7,20,NA,5.6,NA,69,33.9,NA,5.2,NA,16.9,73.8,6.9,19,0,91.4,67.8,0.3,10.5,NA,20.3,NA,NA,NA,2,20.7,73.3,10.2,NA,12,NA,21.4,98.4,66.4,71.6,NA,NA,NA,NA,NA,1.7,94.4,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.8,86.2,2.4,12.5
Afghanistan,2008,Location,NA,Mazar,Average,40.5,29.3,34.4,NA,21.4,50,NA,NA,NA,16.4,13.3,NA,21.1,NA,30.9,75.8,5.3,0,0,100,83.8,0.4,11.7,NA,8.7,NA,NA,NA,7.4,27.9,64.3,2.9,NA,8,NA,25.5,76.5,39,84.9,NA,NA,NA,NA,NA,1.5,98.2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.6,92.6,0.4,29.4
Afghanistan,2008,Ownership Type,NA,10% or more foreign ownership,Average,23.8,18.3,11.1,44.4,16.7,12.5,NA,11.1,NA,28.6,43.5,NA,NA,NA,39.1,NA,5.5,100,0,48.7,4.3,6.9,13.8,NA,15.1,NA,NA,NA,34.8,34.8,59.8,26.1,NA,10.7,NA,33.2,97.4,NA,NA,NA,NA,NA,NA,NA,8.7,89.1,26.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,87,0.9,30.4
Afghanistan,2008,Ownership Type,NA,Domestic,Average,37.6,25.3,29.9,45.5,16.7,25.2,30.8,39.3,18.8,42,54.3,4.1,13.2,-3.6,40,77.9,7.2,0,0,98.7,65.5,6.8,13.8,20,12.4,NA,NA,NA,29.1,41.4,53.2,14.2,35.2,14.1,NA,34.4,86.3,59.9,71.1,NA,NA,NA,NA,NA,4.4,91.3,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.2,88.1,1.8,29.9
Afghanistan,2008,Sector,Manufacturing,All,Average,44.7,29.4,39,41.2,10.9,21.4,30.8,45.5,15.4,40,49.1,4.4,15.9,-6.4,44.4,78.4,7,4.1,0,97.8,67.7,5.8,16.9,15,14.4,NA,NA,NA,25.2,33.3,58.9,15.3,39.3,15,NA,40.9,92.1,60.4,71.1,NA,NA,NA,NA,NA,4.8,92.3,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,83.9,1.5,39.2
Afghanistan,2008,Sector,Manufacturing,Manufacturing,Average,44.7,29.4,39,41.2,10.9,21.4,30.8,45.5,15.4,40,49.1,4.4,15.9,-6.4,44.4,78.4,7,4.1,0,97.8,67.7,5.8,16.9,15,14.4,NA,NA,NA,25.2,33.3,58.9,15.3,39.3,15,NA,40.9,92.1,60.4,71.1,NA,NA,NA,NA,NA,4.8,92.3,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,83.9,1.5,39.2
Afghanistan,2008,Sector,Services,All,Average,34,23.2,25,45.7,18.4,25,29.6,33.7,20,41.9,54.9,2.8,12.6,-4.3,38.7,NA,7.1,4.4,0,96.1,61.3,7.1,12.7,20,11.9,NA,NA,NA,30.8,43.6,51.8,14.4,NA,13.6,NA,32,85.2,NA,NA,NA,NA,NA,NA,NA,4.4,90.7,19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.4,89.3,1.9,27.2
Afghanistan,2008,Sector,Services,Construction,Average,36.7,25.5,30.4,50.8,17.5,40,28.6,31,16.7,44.7,65.1,9.2,10.5,1.7,47.1,NA,4.9,2.9,0,95.4,47.7,7.5,14.9,20,8.9,NA,NA,NA,27.6,50,46.3,19.8,NA,11.6,NA,46.7,71.6,NA,NA,NA,NA,NA,NA,NA,4.7,91.1,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.4,94.2,0.7,26.2
Afghanistan,2008,Sector,Services,Other Services,Average,29.5,20.3,21.2,28,12.9,25,29.4,42.3,NA,38.8,41.7,4.3,15.8,-7.4,38.8,NA,8.6,6.8,0,96.6,67.2,7,14.8,NA,14.4,NA,NA,NA,32.6,41.4,53.6,11.9,NA,15.5,NA,29.5,96.2,NA,NA,NA,NA,NA,NA,NA,6.9,87.6,27.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.8,86.6,2.5,26.6
Afghanistan,2008,Sector,Services,Retail,Average,35.2,23.2,21,60,25.9,20,33.3,29.4,20,41.6,54.8,-8,12,-9.2,24.8,NA,8.9,3.9,0,96.6,76.2,6.6,6.8,NA,11.5,NA,NA,NA,33.7,36.2,58.6,8.6,NA,14.6,NA,11.2,94.1,NA,NA,NA,NA,NA,NA,NA,1,94.2,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.4,84.6,3,29.5
Afghanistan,2008,Size,NA,Large (100+),Average,52.8,33.2,56,50,4.5,33.3,30,20,NA,60,61,NA,NA,NA,66.7,87.8,7.4,9.5,0,92.9,38.1,10.6,7.3,20,5.9,NA,NA,NA,20,45.2,51.2,26.2,NA,14,NA,225.6,71.1,54.4,71.3,NA,NA,NA,NA,NA,4.9,92.7,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,88.1,0.5,26.2
Afghanistan,2008,Size,NA,Medium (20-99),Average,39.7,25,34.4,48.7,13.2,20.7,30.6,39.5,13.3,38.6,64.7,11.8,16.5,-4,58.9,82.7,6.8,3.4,0,96.7,56.8,9.7,16.8,30,14.4,NA,NA,NA,30.8,49.7,44,25.3,42.7,14.7,NA,41.6,76.6,62.4,64.7,NA,NA,NA,NA,NA,4.1,90.8,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.3,87,1.6,35.2
Afghanistan,2008,Size,NA,Small (5-19),Average,33.3,23.6,22.1,41.7,19.8,24.3,29.4,38.7,20,40.6,47.8,-2.8,11.5,-5.8,28.8,72.9,7.1,4.1,0,96.9,68.3,5.1,13.2,10,12.6,NA,NA,NA,30.1,37.2,57.8,8.6,NA,13.6,NA,8.7,93,59.4,76.4,NA,NA,NA,NA,NA,4.7,91.1,19.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.1,88.4,2,28.1
Afghanistan,2008,NA,NA,NA,Average,36.7,24.8,28.8,45,16.5,24.1,30,37.6,18.2,41.5,53.6,3.2,13.3,-4.8,40,78.4,7.1,4.3,0,96.5,62.8,6.8,13.8,20,12.6,NA,NA,NA,29.5,41.2,53.5,14.6,39.3,13.9,NA,34.1,86.9,60.4,71.1,NA,NA,NA,NA,NA,4.5,91.1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.9,88,1.8,29.9
Afghanistan,2014,Exporter Type,NA,Direct exports are 10% or more of sales,Average,78.6,65.2,NA,NA,NA,NA,NA,NA,NA,48.2,88.8,NA,NA,NA,46.7,89.4,9.7,0,0,100,77.2,4.7,28.3,NA,NA,NA,NA,NA,32.8,87.3,18.5,44.2,NA,9.6,NA,65.8,88,80.8,NA,NA,NA,NA,NA,NA,0.5,69.2,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.5,100,0,49.2
Afghanistan,2014,Exporter Type,NA,Non-exporter,Average,48.3,35.4,35.9,45.5,31.4,21,63.5,53.7,NA,41.1,65.3,4.5,8,0.3,29.4,80.3,9.2,0,0,100,64.5,10.7,13.7,40,12,NA,NA,NA,28.2,68.9,30.3,32.4,28.9,12.9,NA,26.4,94.9,70.3,54.5,NA,NA,NA,NA,NA,12.2,71.1,49.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.8,91.9,0.3,30.3
Afghanistan,2014,Gender of Top Manager,NA,Top manager is female,Average,60.2,43.1,56.7,NA,29.6,NA,52.7,66.5,NA,61.6,89.6,NA,NA,NA,58.9,59.9,9.5,0,0,100,49.6,13.5,16.8,NA,NA,NA,NA,NA,17.5,84.5,25.3,57.3,NA,12.3,NA,45.2,78.9,72.7,37.5,NA,NA,NA,NA,NA,10.4,82.3,78.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.6,89.9,0.1,62
Afghanistan,2014,Gender of Top Manager,NA,Top manager is male,Average,46.7,34.6,34.1,44.6,32.1,23.7,64.5,53.8,NA,38.5,62.3,-0.4,6.2,-3.2,27,83,9.5,0,0,100,68.6,9.8,13.6,60,12.5,NA,NA,NA,28.2,70.7,28.3,29.8,28.3,13.3,NA,25.9,94.3,70.6,56,NA,NA,NA,NA,NA,11.3,72.4,50.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.6,92.3,0.3,31.2
Afghanistan,2014,Location,NA,Herat,Average,39.4,27.7,25.2,NA,24.7,26.8,61.6,NA,NA,38.2,36.6,NA,0.5,NA,18.3,85.4,10.3,0,0,100,71.1,5.3,8.3,NA,12.8,NA,NA,NA,17.7,85.5,17,34.3,3.2,15.5,NA,40.7,88.8,65.9,53.5,NA,NA,NA,NA,NA,1.8,88.7,89.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.8,96.6,0.5,39.3
