year,country_name,gdp_per_capita,co2_per_capita,country_code,income_level,region,capital_city,co2_per_capita_scaled
2023,Afghanistan,1992.42439419795,0.210043425410172,AFG,Low income,South Asia,Kabul,210043.425410172
2022,Afghanistan,1981.71016810561,0.203551890416193,AFG,Low income,South Asia,Kabul,203551.890416193
2021,Afghanistan,2144.16657002819,0.198267957840034,AFG,Low income,South Asia,Kabul,198267.957840034
2020,Afghanistan,2769.68574507111,0.18055501271226,AFG,Low income,South Asia,Kabul,180555.01271225998
2019,Afghanistan,2927.2451435353,0.191490829184533,AFG,Low income,South Asia,Kabul,191490.829184533
2018,Afghanistan,2902.39211285546,0.215877625146902,AFG,Low income,South Asia,Kabul,215877.62514690202
2017,Afghanistan,2952.99891598909,0.226011227289355,AFG,Low income,South Asia,Kabul,226011.22728935498
2016,Afghanistan,2958.7853992308,0.216929891611134,AFG,Low income,South Asia,Kabul,216929.891611134
2015,Afghanistan,2967.692067153,0.246706024551365,AFG,Low income,South Asia,Kabul,246706.024551365
2014,Afghanistan,3017.94254424696,0.238642815009995,AFG,Low income,South Asia,Kabul,238642.815009995
2013,Afghanistan,3046.57993117128,0.262469648389334,AFG,Low income,South Asia,Kabul,262469.64838933403
2012,Afghanistan,2985.31914452845,0.319626607745266,AFG,Low income,South Asia,Kabul,319626.607745266
2011,Afghanistan,2757.05258747725,0.388742453073337,AFG,Low income,South Asia,Kabul,388742.453073337
2010,Afghanistan,2848.58606111495,0.275380974794698,AFG,Low income,South Asia,Kabul,275380.97479469795
2009,Afghanistan,2565.02208584099,0.221465726059917,AFG,Low income,South Asia,Kabul,221465.72605991698
2008,Afghanistan,2191.50435559062,0.144751528002023,AFG,Low income,South Asia,Kabul,144751.528002023
2007,Afghanistan,2155.35306784413,0.0775612303767694,AFG,Low income,South Asia,Kabul,77561.2303767694
2006,Afghanistan,1929.72389709372,0.0553923376777949,AFG,Low income,South Asia,Kabul,55392.3376777949
2005,Afghanistan,1908.11478234587,0.0518878290280668,AFG,Low income,South Asia,Kabul,51887.8290280668
2004,Afghanistan,1776.91820712187,0.03789792931894,AFG,Low income,South Asia,Kabul,37897.929318940005
2003,Afghanistan,1815.92819979586,0.0443407305372896,AFG,Low income,South Asia,Kabul,44340.73053728959
2002,Afghanistan,1774.30874287341,0.0440777829029563,AFG,Low income,South Asia,Kabul,44077.7829029563
2001,Afghanistan,1454.11078195559,0.0465729492262171,AFG,Low income,South Asia,Kabul,46572.949226217104
