year,country_name,gdp_per_capita,co2_per_capita,country_code,income_level,region,capital_city
2023,Afghanistan,1992.42439419795,0.210043425410172,AFG,"{'id': 'LIC', 'iso2code': 'XM', 'value': 'Low income'}","{'id': 'SAS', 'iso2code': '8S', 'value': 'South Asia'}",Kabul
2022,Afghanistan,1981.71016810561,0.203551890416193,AFG,"{'id': 'LIC', 'iso2code': 'XM', 'value': 'Low income'}","{'id': 'SAS', 'iso2code': '8S', 'value': 'South Asia'}",Kabul
2021,Afghanistan,2144.16657002819,0.198267957840034,AFG,"{'id': 'LIC', 'iso2code': 'XM', 'value': 'Low income'}","{'id': 'SAS', 'iso2code': '8S', 'value': 'South Asia'}",Kabul
2020,Afghanistan,2769.68574507111,0.18055501271226,AFG,"{'id': 'LIC', 'iso2code': 'XM', 'value': 'Low income'}","{'id': 'SAS', 'iso2code': '8S', 'value': 'South Asia'}",Kabul
2019,Afghanistan,2927.2451435353,0.191490829184533,AFG,"{'id': 'LIC', 'iso2code': 'XM', 'value': 'Low income'}","{'id': 'SAS', 'iso2code': '8S', 'value': 'South Asia'}",Kabul
2018,Afghanistan,2902.39211285546,0.215877625146902,AFG,"{'id': 'LIC', 'iso2code': 'XM', 'value': 'Low income'}","{'id': 'SAS', 'iso2code': '8S', 'value': 'South Asia'}",Kabul
2017,Afghanistan,2952.99891598909,0.226011227289355,AFG,"{'id': 'LIC', 'iso2code': 'XM', 'value': 'Low income'}","{'id': 'SAS', 'iso2code': '8S', 'value': 'South Asia'}",Kabul
2016,Afghanistan,2958.7853992308,0.216929891611134,AFG,"{'id': 'LIC', 'iso2code': 'XM', 'value': 'Low income'}","{'id': 'SAS', 'iso2code': '8S', 'value': 'South Asia'}",Kabul
2015,Afghanistan,2967.692067153,0.246706024551365,AFG,"{'id': 'LIC', 'iso2code': 'XM', 'value': 'Low income'}","{'id': 'SAS', 'iso2code': '8S', 'value': 'South Asia'}",Kabul
2014,Afghanistan,3017.94254424696,0.238642815009995,AFG,"{'id': 'LIC', 'iso2code': 'XM', 'value': 'Low income'}","{'id': 'SAS', 'iso2code': '8S', 'value': 'South Asia'}",Kabul
2013,Afghanistan,3046.57993117128,0.262469648389334,AFG,"{'id': 'LIC', 'iso2code': 'XM', 'value': 'Low income'}","{'id': 'SAS', 'iso2code': '8S', 'value': 'South Asia'}",Kabul
2012,Afghanistan,2985.31914452845,0.319626607745266,AFG,"{'id': 'LIC', 'iso2code': 'XM', 'value': 'Low income'}","{'id': 'SAS', 'iso2code': '8S', 'value': 'South Asia'}",Kabul
2011,Afghanistan,2757.05258747725,0.388742453073337,AFG,"{'id': 'LIC', 'iso2code': 'XM', 'value': 'Low income'}","{'id': 'SAS', 'iso2code': '8S', 'value': 'South Asia'}",Kabul
2010,Afghanistan,2848.58606111495,0.275380974794698,AFG,"{'id': 'LIC', 'iso2code': 'XM', 'value': 'Low income'}","{'id': 'SAS', 'iso2code': '8S', 'value': 'South Asia'}",Kabul
